1,75001,48.86405,2.33105
2,75002,48.86756,2.34399
3,75003,48.86348,2.35911
4,75004,48.85343,2.35828
5,75005,48.84349,2.35183
6,75006,48.84886,2.33542
7,75007,48.85433,2.31340
8,75008,48.87187,2.31764
9,75009,48.87902,2.33791
10,75010,48.87856,2.36037
11,75011,48.85799,2.38115
12,75012,48.82936,2.42654
13,75013,48.84216,2.29277
14,75014,48.83144,2.32557
15,75015,48.84216,2.29277
16,75016,48.85858,2.28470
17,75017,48.89199,2.31929
18,75018,48.89131,2.35299
19,75019,48.88238,2.38229
20,75020,48.85998,2.40664
